"prenom","gender"
"AALI","m"
"AALIYAH","f"
"AAMINA","f"
"AAMINAH","f"
"'AAMIR","m"
"AAMIR 1","m"
"AAMIR 2","m"
"'ABBAS","m"
"ABBAS","m"
"ABD AL-AZIZ","m"
"ABD AL-HAMID","m"
"ABD AL-KADER","m"
"ABD AL-KARIM","m"
"ABD ALLAH","m"
"ABD AL-LATIF","m"
"ABD AL-MAJID","m"
"ABD AL-MALIK","m"
"ABD AL-QADIR","m"
"ABD AL-RAHIM","m"
"ABD AL-RAHMAN","m"
"ABD AL-RASHID","m"
"ABD AL-SALAM","m"
"ABD AL-WALI","m"
"ABD AR-RAHIM","m"
"ABD AR-RAHMAN","m"
"ABD AR-RASHID","m"
"ABD AS-SALAM","m"
"ABDELAZIZ","m"
"ABDELHAMID","m"
"ABDELKADER","m"
"ABDELLATIF","m"
"ABDELMAJID","m"
"ABDERRAHIM","m"
"ABDERRAHMANE","m"
"ABDESLAM","m"
"ABDESSALAM","m"
"ABDUH","m"
"ABDUL","m"
"ABDUL AZIZ","m"
"ABDULAZIZ","m"
"ABDUL HAMID","m"
"ABDULLA","m"
"ABDULLAH","m"
"ABDUL RAHMAN","m"
"ABDUR RAHIM","m"
"ABDUR RAHMAN","m"
"ABDUR RASHID","m"
"ABDUS SALAM","m"
"'ABLA","f"
"ABU","m"
"ABU AL-FADL","m"
"ABU BAKR","m"
"ABUL-FAZL","m"
"ADAM","m"
"ADEL","m"
"ADIL","m"
"ADILA","f"
"ADNAN","m"
"AFAF","f"
"AFFAN","m"
"AFIF","m"
"AFRA 2","f"
"AFZAL","m"
"AHMAD","m"
"AHMED","m"
"AÏCHA","f"
"AIDA","f"
"AIMAN 2","m"
"'AISHA","f"
"A'ISHA","f"
"AISHA","f"
"AISHAH","f"
"AKBAR","m"
"AKILAH","f"
"AKRAM","m"
"ALA 1","m"
"ALA AD-DIN","m"
"ALA AL-DIN","m"
"AL-AMIR","m"
"AL-HASAN","m"
"'ALI","m"
"ALI 1","m"
"ALIA 1","f"
"ALIM","m"
"ALIYA 1","f"
"ALIYAH 1","f"
"ALIYYA","f"
"ALIYYAH","f"
"ALYA 1","f"
"AMAAL","f"
"AMEL 2","f"
"AMIN","m"
"AMINA","f"
"AMINAH 1","f"
"AMINAH 2","f"
"AMINE 1","m"
"AMIR 1","m"
"AMIRA 1","f"
"AMIRAH","f"
"AMJAD","m"
"'AMMAR","m"
"AMMAR","m"
"AMNA","f"
"ANAS","m"
"ANASS","m"
"ANIS","m"
"ANISA","f"
"ANSAR","m"
"ANWAR","m"
"ANWER","m"
"AQIL","m"
"AQILA","f"
"ARIF","m"
"ARIJ","f"
"ARWA","f"
"AS'AD","m"
"ASAD","m"
"ASHFAQ","m"
"ASHRAQAT","f"
"ASIF","m"
"ASIM 1","m"
"ASIYA","f"
"ASMA","f"
"ASMAA","f"
"ASRA","f"
"ASSIA","f"
"ATA 2","m"
"ATALLAH","m"
"ATAULLAH","m"
"ATIF","m"
"ATIFA","f"
"ATIYA","m & f"
"ATUF","m"
"AYA 2","f"
"AYAH","f"
"AYDA","f"
"AYESHA","f"
"AYISHAH","f"
"AYMAN","m"
"AYOUB","m"
"AYSHA","f"
"AYYUB","m"
"AZHAR","m"
"'AZIZ","m"
"AZIZ","m"
"AZIZA","f"
"AZRA","f"
"BADR","m & f"
"BAHA","m"
"BAHIGA","f"
"BAHIJ","m"
"BAHIJA","f"
"BAHIYYA","f"
"BAKI","m"
"BAKR","m"
"BALQIS","f"
"BAQI","m"
"BAQIR","m"
"BARACK","m"
"BARAK 2","m"
"BARAKAT","m"
"BASHAR","m"
"BASIL 2","m"
"BASIM","m"
"BASIMA","f"
"BASIR","m"
"BASIRA","f"
"BASIT","m"
"BASMA","f"
"BASSAM","m"
"BASSEM","m"
"BATUL","f"
"BILAL","m"
"BINYAMIN","m"
"BOTROS","m"
"BOULOS","m"
"BOUTROS","m"
"BRAHIM","m"
"BUDUR","f"
"BULUS","m"
"BURHAN","m"
"BURHAN AD-DIN","m"
"BURHAN AL-DIN","m"
"BURHANUDDIN","m"
"BUSHRA","f"
"BUTRUS","m"
"DALAL","f"
"DALIA 1","f"
"DANA 4","m & f"
"DANIA 2","f"
"DANIAL","m"
"DANIYAH","f"
"DANIYAL","m"
"DANYA 2","f"
"DAUD","m"
"DAWOOD","m"
"DAWUD","m"
"DEMA","f"
"DIMA 1","f"
"DINA 3","f"
"DIYA 2","m"
"DJAMILA","f"
"DUA","f"
"EBRAHIM","m"
"EESA","m"
"EMAN","f"
"ESMAIL","m"
"ESSA","m"
"FADI","m"
"FADIA","f"
"FADIL","m"
"FADILA","f"
"FADL","m"
"FAHD","m"
"FAHIM","m"
"FAHIMA","f"
"FAIRUZ","f"
"FAISAL","m"
"FAIZ","m"
"FAIZA","f"
"FAIZEL","m"
"FAJR","f"
"FAKHRI","m"
"FAKHRIYYA","f"
"FARAG","m"
"FARAJ","m"
"FAREED","m"
"FAREEHA","f"
"FARHAN","m"
"FARHANA","f"
"FARID","m"
"FARIDA","f"
"FARIHA","f"
"FARIS","m"
"FAROOQ","m"
"FAROUK","m"
"FARRAH","f"
"FARUK","m"
"FARUQ","m"
"FATEMA","f"
"FATEMAH","f"
"FATHI","m"
"FATHIYYA","f"
"FATIHA","f"
"FATIMA","f"
"FATIMA AZ-ZAHRA","f"
"FATIMAH","f"
"FATIMA ZAHRA","f"
"FATIN 1","f"
"FATIN 2","m"
"FATMA","f"
"FAWZI","m"
"FAWZIYA","f"
"FAWZIYYA","f"
"FAYIZ","m"
"FAYRUZ","f"
"FAYSAL","m"
"FAYZA","f"
"FAZL","m"
"FIDDA","f"
"FIHR","m"
"FIKRI","m"
"FIKRIYYA","f"
"FIRDAUS","m & f"
"FIZZA","f"
"FOUAD","m"
"FUAD","m"
"FURQAN","m"
"GABIR","m"
"GABR","m"
"GAFAR","m"
"GALAL","m"
"GALILA","f"
"GAMAL","m"
"GAMIL","m"
"GAMILA","f"
"GATHBIYYA","f"
"GAWAHIR","f"
"GAWDAT","m"
"GAZBIYYA","f"
"GHADA","f"
"GHADIR","f"
"GHALIB","m"
"GHALIYA","f"
"GHASSAN","m"
"GHAYTH","m"
"GHULAM","m"
"GUDA","m"
"HAAMID","m"
"HABIB","m"
"HABIBA","f"
"HABIBULLAH","m"
"BACHIR","m"
"BOUTHAYNA","f"
"THANINA","f"
"SOUHILA","f"
"CHABANE","m"
"GHIZLANE","f"
"SOUNDOUS","f"
"DRISS","m"
"ABDELJALIL","m"
"BOUZID","m"
"NASSER","m"
"AHLAM","f"
"KHOULOUD","f"
"MAROUAN","m"
"SAADIA","f"
"HASSINA","f"
"RAHMA","f"
"BOUBAKER","m"
"MAKHTAR","m"
"ANTAR","m"
"MASSILYA","f"
"LAMINE","m"
"HOUARI","m"
"HAMID","m"
"KATIA","f"
"RADIA","f"
"SOUMAYA","f"
